,segment_id,resource_id,route_segment_id,origin,destination,route_start_time,route_end_time,load_start_time,load_end_time,resource_speed,evacuees,evacuated_location
0,1,Queen of Capilano,1,Horseshoe Bay Terminal,Snug Cove Ferry Terminal,10.0,24.0,24.0,34.0,12.0,0,None
1,2,Queen of Capilano,2,Snug Cove Ferry Terminal,Horseshoe Bay Terminal,34.0,48.0,48.0,58.0,12.0,457,Snug Cove
2,3,Queen of Capilano,3,Horseshoe Bay Terminal,Snug Cove Ferry Terminal,58.0,72.0,72.0,82.0,12.0,0,None
3,4,Queen of Capilano,4,Snug Cove Ferry Terminal,Horseshoe Bay Terminal,82.0,96.0,96.0,106.0,12.0,457,Snug Cove
4,5,Queen of Capilano,5,Horseshoe Bay Terminal,Snug Cove Ferry Terminal,106.0,120.0,120.0,130.0,12.0,0,None
5,6,Queen of Capilano,6,Snug Cove Ferry Terminal,Horseshoe Bay Terminal,130.0,144.0,144.0,154.0,12.0,457,Snug Cove
6,1,Cormorant,1,Snug Cove Marina,Snug Cove Marina,10.0,10.0,10.0,13.0,25.0,0,None
7,2,Cormorant,2,Snug Cove Marina,Horseshoe Bay Terminal,13.0,21.4,21.4,24.4,20.0,12,Snug Cove
8,3,Cormorant,3,Horseshoe Bay Terminal,Mannion Bay Beach,24.4,30.64,30.64,33.64,20.0,0,None
9,4,Cormorant,4,Mannion Bay Beach,Horseshoe Bay Terminal,33.64,41.44,41.44,44.44,20.0,12,Snug Cove
10,5,Cormorant,5,Horseshoe Bay Terminal,Mannion Bay Wharf,44.44,50.68,50.68,53.68,20.0,0,None
11,6,Cormorant,6,Mannion Bay Wharf,Horseshoe Bay Terminal,53.68,61.480000000000004,61.480000000000004,64.48,20.0,12,Snug Cove
12,7,Cormorant,7,Horseshoe Bay Terminal,Cates Bay Dock,64.48,71.44,71.44,74.44,20.0,0,None
13,8,Cormorant,8,Cates Bay Dock,Horseshoe Bay Terminal,74.44,83.14,83.14,86.14,20.0,12,Hood Point
14,9,Cormorant,9,Horseshoe Bay Terminal,Mannion Bay Beach,86.14,92.38,92.38,95.38,20.0,0,None
15,10,Cormorant,10,Mannion Bay Beach,Horseshoe Bay Terminal,95.38,103.17999999999999,103.17999999999999,106.17999999999999,20.0,12,Snug Cove
16,11,Cormorant,11,Horseshoe Bay Terminal,Mannion Bay Wharf,106.17999999999999,112.41999999999999,112.41999999999999,115.41999999999999,20.0,0,None
17,12,Cormorant,12,Mannion Bay Wharf,Horseshoe Bay Terminal,115.41999999999999,123.21999999999998,123.21999999999998,126.21999999999998,20.0,12,Snug Cove
18,13,Cormorant,13,Horseshoe Bay Terminal,Cates Bay Beach,126.21999999999998,133.17999999999998,133.17999999999998,136.17999999999998,20.0,0,None
19,14,Cormorant,14,Cates Bay Beach,Horseshoe Bay Terminal,136.17999999999998,144.87999999999997,144.87999999999997,147.87999999999997,20.0,12,Hood Point
20,15,Cormorant,15,Horseshoe Bay Terminal,Mannion Bay Wharf,147.87999999999997,154.11999999999998,154.11999999999998,157.11999999999998,20.0,0,None
21,16,Cormorant,16,Mannion Bay Wharf,Horseshoe Bay Terminal,157.11999999999998,164.92,164.92,167.92,20.0,12,Snug Cove
22,1,Bowen Arrow,1,Snug Cove Marina,Snug Cove Marina,30.0,30.0,30.0,33.0,25.0,0,None
23,2,Bowen Arrow,2,Snug Cove Marina,Horseshoe Bay Terminal,33.0,41.4,41.4,44.4,20.0,12,Snug Cove
24,3,Bowen Arrow,3,Horseshoe Bay Terminal,Mannion Bay Beach,44.4,50.64,50.64,53.64,20.0,0,None
25,4,Bowen Arrow,4,Mannion Bay Beach,Horseshoe Bay Terminal,53.64,61.44,61.44,64.44,20.0,12,Snug Cove
26,5,Bowen Arrow,5,Horseshoe Bay Terminal,Mannion Bay Beach,64.44,70.67999999999999,70.67999999999999,73.67999999999999,20.0,0,None
27,6,Bowen Arrow,6,Mannion Bay Beach,Horseshoe Bay Terminal,73.67999999999999,81.47999999999999,81.47999999999999,84.47999999999999,20.0,12,Snug Cove
28,7,Bowen Arrow,7,Horseshoe Bay Terminal,Mannion Bay Wharf,84.47999999999999,90.71999999999998,90.71999999999998,93.71999999999998,20.0,0,None
29,8,Bowen Arrow,8,Mannion Bay Wharf,Horseshoe Bay Terminal,93.71999999999998,101.51999999999998,101.51999999999998,104.51999999999998,20.0,12,Snug Cove
30,9,Bowen Arrow,9,Horseshoe Bay Terminal,Mannion Bay Wharf,104.51999999999998,110.75999999999998,110.75999999999998,113.75999999999998,20.0,0,None
31,10,Bowen Arrow,10,Mannion Bay Wharf,Horseshoe Bay Terminal,113.75999999999998,121.55999999999997,121.55999999999997,124.55999999999997,20.0,12,Snug Cove
32,11,Bowen Arrow,11,Horseshoe Bay Terminal,Mannion Bay Beach,124.55999999999997,130.79999999999998,130.79999999999998,133.79999999999998,20.0,0,None
33,12,Bowen Arrow,12,Mannion Bay Beach,Horseshoe Bay Terminal,133.79999999999998,141.6,141.6,144.6,20.0,12,Snug Cove
34,13,Bowen Arrow,13,Horseshoe Bay Terminal,Mannion Bay Beach,144.6,150.84,150.84,153.84,20.0,0,None
35,14,Bowen Arrow,14,Mannion Bay Beach,Horseshoe Bay Terminal,153.84,161.64000000000001,161.64000000000001,164.64000000000001,20.0,12,Snug Cove
36,1,Apodaca,1,Snug Cove Marina,Hood Point Dock,10.0,18.64,18.64,23.64,25.0,0,None
37,2,Apodaca,2,Hood Point Dock,Horseshoe Bay Terminal,23.64,34.74,34.74,39.74,20.0,38,Hood Point
38,3,Apodaca,3,Horseshoe Bay Terminal,Cates Bay Dock,39.74,46.7,46.7,51.7,20.0,0,None
39,4,Apodaca,4,Cates Bay Dock,Horseshoe Bay Terminal,51.7,60.400000000000006,60.400000000000006,65.4,20.0,38,Hood Point
40,5,Apodaca,5,Horseshoe Bay Terminal,Cates Bay Dock,65.4,72.36,72.36,77.36,20.0,0,None
